29670,59,32.3,28302,1,2,2,1,1,1,2,1,1,0,5,6,2,7,3,5,4,3,7,1,3,1,0,1,60
77089,49,34.5,33364,3,2,2,1,1,2,1,2,1,5,4,4,6,4,4,9,10,5,4,5,2,5,1,2,85
75000,19,23.7,16869,7,8,12,7,1,4,5,5,6,7,5,10,12,5,10,13,11,19,11,12,9,11,4,7,201
22624,78,37.5,17131,2,1,2,2,0,0,1,1,3,4,1,4,2,5,2,1,2,3,5,3,0,3,1,1,49
40445,37,31.1,28187,3,5,2,3,0,0,0,2,10,5,9,7,9,12,3,8,8,2,8,4,4,3,1,1,109
10402,44,36.5,11468,6,3,6,6,2,1,2,3,2,6,5,9,12,11,4,4,8,5,3,11,12,8,1,3,133
7756,1,46.3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4
6424,1,39.2,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16015,51,42.9,5331,2,2,2,1,0,0,0,3,2,2,5,5,5,5,3,4,3,3,4,5,7,1,2,3,69
7177,48,46.5,6990,1,0,0,2,0,0,0,2,1,5,0,4,3,5,3,2,7,4,5,2,3,2,0,4,55
8577,51,43.3,6426,1,3,0,0,1,0,0,2,1,6,7,9,7,8,2,7,8,1,4,7,0,1,1,1,77
5091,82,34.1,11548,0,0,0,0,0,1,0,2,1,2,3,0,2,1,2,1,1,2,0,0,0,2,0,0,20
3861,51,43.6,7580,3,2,0,2,2,1,1,3,3,6,4,4,5,3,4,3,1,6,0,5,2,6,2,3,71
7668,32,30.5,20470,15,15,12,4,7,7,3,6,24,12,13,14,24,19,17,20,28,19,19,25,25,15,9,12,364
2049,15,25.2,16831,6,10,16,10,4,5,6,4,7,15,21,20,19,11,21,12,14,20,23,15,7,16,16,12,310
17283,19,24.2,17520,7,5,4,2,2,4,1,2,5,6,12,7,12,11,7,4,13,14,8,12,10,11,5,2,166
10673,35,33.8,8102,2,8,13,5,2,0,2,3,5,7,11,9,6,5,6,6,9,11,8,9,8,10,5,4,154
14118,29,29.6,13837,12,12,15,9,7,7,2,16,17,21,34,15,29,23,20,19,43,39,26,18,20,25,11,19,459
5802,37,34.1,19544,6,2,4,2,2,2,3,6,15,15,16,16,10,5,12,6,11,24,10,12,11,19,7,6,222
1618,38,40.1,13704,1,0,0,1,2,0,0,1,5,8,4,3,5,2,2,1,4,6,3,0,3,3,2,2,58
2179,49,29,13652,1,2,1,1,0,0,0,0,1,0,1,0,2,0,1,1,4,1,2,0,1,0,0,0,18
7488,56,35.4,4910,1,1,0,2,0,0,0,0,2,4,6,5,5,2,6,7,6,5,2,2,3,2,1,2,64
3846,48,32.4,5677,1,2,2,1,0,1,1,2,5,5,3,1,2,5,1,2,5,5,4,7,4,2,1,1,63
10810,53,33.9,21208,1,0,2,1,1,2,1,4,7,11,4,4,5,4,4,8,5,7,4,6,9,7,7,4,108
13046,31,36.9,8817,10,10,3,7,2,5,3,4,9,9,11,11,17,13,10,8,9,15,19,13,13,15,12,10,238
3719,19,36.4,15836,7,9,9,5,9,4,5,10,21,12,8,20,13,13,16,21,13,19,23,23,18,15,16,18,327
3479,14,29.6,20349,7,8,2,7,2,1,3,6,12,12,17,25,14,18,9,13,23,17,15,17,19,14,14,8,283
12530,24,29.1,19055,21,29,16,14,8,11,6,9,22,34,30,54,48,33,48,31,37,45,41,47,46,37,35,29,731
5202,37,32.8,11585,4,2,2,4,3,1,0,5,5,12,8,10,19,6,8,7,8,11,10,8,5,3,9,3,153
6861,42,34.4,9862,6,3,5,2,1,5,3,3,3,2,9,4,6,2,4,7,3,3,5,7,2,4,3,2,94
4108,41,37.1,4081,5,1,1,0,5,2,2,0,1,2,3,4,7,7,1,5,1,6,2,3,3,3,3,2,69
1662,35,38,18030,8,4,1,4,3,3,1,1,8,5,3,4,9,8,2,4,10,10,6,10,11,8,7,8,138
3576,23,34.9,22969,11,16,12,8,1,3,3,10,6,8,12,23,22,16,15,15,16,19,20,15,12,16,15,8,302
10327,20,31.9,17326,22,27,18,14,11,10,8,14,15,25,15,31,23,24,17,36,32,24,23,29,28,20,24,32,522
7500,28,35.8,17348,3,7,8,9,4,3,2,5,10,9,13,9,15,14,8,18,16,17,12,7,17,13,9,8,236
1850,28,29.4,17424,3,3,6,3,4,0,2,4,6,7,11,8,5,8,7,4,7,11,8,7,6,3,6,5,134
3581,28,34.6,19639,11,13,11,9,6,2,5,6,18,19,10,16,13,6,9,8,15,12,17,15,10,11,11,5,258
7992,27,35.8,12659,5,6,7,3,4,1,3,5,6,14,8,14,18,15,8,23,11,14,12,16,11,12,10,8,234
10147,32,36.5,9736,6,5,5,3,1,1,3,2,8,6,5,2,7,8,3,5,7,10,9,7,6,6,4,6,125
6137,33,33.4,22560,4,6,3,1,2,1,2,7,10,14,12,15,13,2,9,4,14,15,7,10,11,9,7,3,181
8487,47,35.2,28457,4,4,9,2,1,0,1,6,6,8,12,7,11,7,5,1,9,10,11,8,6,7,7,5,147
30062,34,37.1,12700,6,5,7,2,4,2,1,5,11,12,15,8,11,8,5,14,13,15,7,15,10,11,9,10,206
5192,40,32.7,24110,4,6,5,3,6,3,0,2,7,13,16,8,10,7,8,10,14,8,11,11,9,11,5,8,185
2719,44,44.6,15216,1,2,0,2,2,1,0,1,4,3,3,3,3,2,3,5,5,2,1,3,0,3,4,5,58
2364,38,36.1,12612,1,3,2,3,1,0,1,6,9,4,5,5,5,4,3,5,10,9,9,13,2,6,4,4,114
6697,43,43.5,11327,1,0,1,1,1,0,0,2,2,3,5,6,1,7,3,5,6,5,3,9,5,4,2,1,73
24160,41,37.7,1216,2,4,3,1,0,1,0,1,3,3,3,4,6,6,6,3,5,6,4,5,5,0,0,3,74
15728,57,39.5,5398,1,1,2,0,0,2,0,2,2,2,3,2,4,5,2,5,7,3,4,0,4,2,2,0,55